"","titular"
"304","Retail Financiero estima que tendrían problemas de liquidez por US$1.000 millones mensuales en caso de aprobarse proyecto que posterga créditos de forma masiva"
"305","Nueve regiones del país muestran una velocidad de transmisión del virus superior a lo recomendado"
"306","OMS advierte que el mundo está al borde de un ""catastrófico fracaso moral"" si los países ricos acaparan las vacunas"
"307","Se suspende partido entre Valdivia y Ñublense por casos de Covid-19"
"308","“Política desigual” y “ahorros embargables”: La minuta de la Segpres a los diputados y autoridades para el debate sobre el retiro de fondos de pensiones"
"309","

                
                
                Informe epidemiológico: Chile superó la barrera de 30 mil decesos por covid-19 entre confirmados y probables
"
"310","Guillier le mete mano y edita video del gobierno que buscaba generar conciencia sobre el Covid-19"
"311","Comisión Retorno define su primer objetivo: mantener el formato del torneo"
"312","El regreso de Dios"
"313","

                
                
                La ONU teme más violencia de género y pobreza para las mujeres por el COVID-19
"
"314","Facebook cancela su conferencia anual de desarrolladores por el coronavirus"
"315","Unión Europea cree necesario investigar el origen de la pandemia de covid-19"
"316","Fang Fang, la escritora que desafía a China con su diario del virus"
"317","La lámina que compartió Contralorito para responder a quienes dudan de la vacuna contra el Covid"
"318","Paris explica los ""determinantes sociales"" considerados para el desconfinamiento parcial de Los Ríos y Aysén"
"319","El impacto de los rebrotes en España"
"320","Balance diario del Minsal: nuevos casos Covid-19 rozan los ocho mil y se reportan 133 fallecidos"
"321","Confirman el primer fallecimiento en Japón a causa del coronavirus"
"322","Chile registra segunda cifra más alta de casos diarios en la pandemia"
"323","Menor incidencia de activos en 14 regiones: El contraste en los indicadores epidemiológicos previo al ""18"" entre 2020 y este año"
"324","Fiestas de fin de año y Covid-19 ¿Podemos celebrar con amigos o familiares sin mascarilla?"
"325","México estima que alcanzará ""inmunidad de rebaño"" ante el covid-19 en agosto y amplía puntos de vacunación"
"326","

                
                
                Triste récord: Brasil supera el millón de casos de COVID-19 y se aproxima a las 50.000 muertes
"
"327","Mercado corrige con fuerza sus proyecciones y prevé caída del PIB del segundo trimestre de -4,9%"
"328","España permitirá desde el lunes el ingreso a las personas que acrediten estar vacunados"
"329","María Fernanda Ampuero, escritora: La desigualdad en las vacunas “da para escribir un cuento de terror”"
"330","Fiscalía abrió investigación de oficio por eventual delito sanitario de pastor evangélico de La Pintana"
"331","Estados Unidos supera las 100.000 muertes por COVID-19"
"332","Cuerpo de Bomberos Metropolitano Sur confirma dos voluntarios contagiados de Covid-19"
"333","Evo Morales recibió el alta medica tras doce días hospitalizado por Covid-19"
"334","Mociones inadmisibles, iniciativas por covid-19 y críticas al Ejecutivo: ¿Cómo evalúas el trabajo de los senadores en medio de la pandemia?"
"335","

                
                
                Covid-19: el gráfico que muestra el riesgo de contagio de coronavirus según la actividad que hagas
"
"336","Informe de expertos recomendó el lunes “evaluar la expansión de la cuarentena” en Región Metropolitana"
"337","Joaquín Niemann da positivo y se pierde el Masters"
"338","Plan de emergencia: oposición cuestiona marco fiscal propuesto"
"339","El diagnóstico de la presidenta del Colegio Médico sobre el manejo de cifras de Covid-19 por parte del Minsal: “Necesitamos mayor transparencia”"
"340","Informe epidemiológico: casos activos a nivel alcanzan cuarto récord consecutivo y casi 90% de las comunas en Chile superan los 100 contagiantes por cada 100 mil habitantes"
"341","

                
                
                Guía práctica de los test de covid-19: para qué sirven y para qué no
"
"342","India suma más de 24.000 casos nuevos de coronavirus y 333 muertos en las últimas 24 horas"
"343","Brasil supera los 80.000 muertos y los 2,1 millones de casos de coronavirus"
"344","Hasta los mineros lloran la partida de “Pipo Arancibia”"
"345","Chile supera los 3,3 millones de personas vacunadas contra el coronavirus, el 21,7% de la población objetivo"
"346","El reclamo de las autoridades de Tarapacá tras el alza de casos de covid-19 en la región"
"347","Google lanzó iniciativa contra la desinformación sobre el coronavirus"
"348","El coronavirus llegó a Chile"
"349","Cirugía ginecológica mínimamente invasiva en pandemia: Más segura que nunca"
"350","DEIS: Fallecimientos atribuidos al Covid-19 ascienden a 33.759 a nivel nacional y abril se posiciona como el tercer mes con más decesos de toda la pandemia"
"351","Cámara despacha a Comisión Mixta proyecto que crea Fondo de Emergencia Covid-19"
"352","Decesos por coronavirus en Chile llegarían a 13.939 sumando confirmados y sospechosos"
"353","Minsal reporta 50 decesos y 1.923 nuevos contagios: Segundo día consecutivo con récord de exámenes y positividad es 4,88%"
"354","Taquicardia extrema, dolor en el pecho, náuseas insoportables: sobreviviente de coronavirus revela los terroríficos síntomas que experimentó"
"355","Vacuna contra el Covid-19 de la Universidad de Oxford anuncia una eficacia del 70%"
"356","Zico ha vuelto y es chileno"
"357","Infectóloga italiana Giuseppina Liuzzi en Chile: ""Hemos vivido y vivimos las mismas batallas"""
"358","A una semana de iniciada la vacunación masiva, 1.128.359 personas han sido inoculadas en el país contra el Covid-19"
"359","Gobierno anuncia proyecto para suplementar ingresos de trabajadores a honorarios"
"360","¿Cuándo aterrizó el virus en Chile?: una pregunta que debemos dilucidar"
"361","Gobierno previo a interpelación a Paris: Oposición ""tuvo mala suerte, porque hoy justo es cuando hay menos casos"""
"362","Minsal reporta 39 decesos y cifra de casos nuevos desciende a 1.711: Positividad es la más alta desde octubre"
"363","Experto en salud pública advierte por aglomeraciones de Navidad en plena pandemia: “No hay que responsabilizar solo a las personas/falta fiscalización de la autoridad”"
"364","Efecto pandemia: medición detectó fuerte alza de obesidad y sobrepeso en niños"
"365","Cómo el virus ha cambiado al transporte público en el mundo"
"366","Hacienda alista medidas por crisis y Banco Central sale a reforzar liquidez en pesos y dólares"
"367","Caso helicópteros: Imputados deberán hacer donación benéfica y no podrán realizar vuelos por tres meses"
"368","Estados Unidos superó los cinco millones de contagios por Covid-19"
"369","""Un dolor de cuerpo brutal"": Los crudos testimonios de dos deportistas contagiados con el coronavirus"
"370","

                
                
                Balance del Covid-19 en Chile: fallecidos superan la barrera de los cinco mil
"
"371","Minsal planea instalar hospitales modulares en caso de potencial demanda de camas por contagios de Covid-19"
"372","En lo que va de julio se han reportado más casos que en los primeros 11 meses de pandemia: La evolución del covid en Cuba"
"373","Ocho de las 16 regiones de Chile superan los 100 nuevos casos diarios de Covid-19 en la jornada con mayor cantidad de contagios desde julio"
"374","Wall Street sufrió dura caída en medio del pesimismo del mercado ante los resultados de Amazon y otras compañías"
"375","Alcaldes de Los Ríos y Aysén ante ""desconfinamiento gradual"": Piden fiscalización rigurosa y garantías ""que den tranquilidad"""
"376","Toque de queda comenzará a la medianoche en todo el país, con excepción de Magallanes y Puerto Montt"
"377","""Niebla mental"": La secuela que afecta a los pacientes con covid-19 que también se ha detectado en Chile"
"378","Rusia supera los 145.000 contagiados por coronavirus tras sumar de nuevo más de 10.000 positivos en un día"
"379","Italia registra la menor cifra de fallecidos diarios desde el inicio de la pandemia"
"380","Ministro Figueroa cuestiona al Colegio de Profesores por ""vanagloriarse o casi alegrarse cada vez que un colegio cierra"""
"381","“Se busca... ¡De preferencia muerto!”: El detalle de la denuncia por amenazas en Twitter contra Mañalich"
"382","Diputada Núñez empuja el “Plan Antofagasta” para levantar a la región del impacto de la pandemia"
"383","¿Un salario mínimo de $500 mil?: Economistas analizan escenario para la negociación del nuevo reajuste"
"384","Los números que preocupan a la zona norponiente del Gran Santiago: cuatro comunas superan los 100 casos activos por cada 100 mil habitantes"
"385","Nadal tuvo que dejar niños en cuarentena dentro de su academia"
"386","Minsal y evaluación de Fase 2 en la RM: “La reducción de movilidad esperamos que impacte favorablemente en las cifras de contagio”"
"387","Memoria visual de un traslado aéreo"
"388","

                
                
                Los casos mundiales de Covid-19 superan los 50 millones después de un peak de 30 días
"
"389","

                
                
                Lo sorprendieron intentando robar: hombre con COVID-19 escapó en dos oportunidades de residencia sanitaria en Concepción
"
"390","Se acabó el carrete: cierran todas las discos de la Región Metropolitana"
"391","Pandemia sigue al alza en EE.UU.:  Acumula 530.624 muertes y 29.212.779 contagios por covid-19"
"392","Infractores al toque de queda caen un 11% y permisos temporales un 18% durante última jornada"
"393","Tres fiestas, más de cien personas: el eventual brote que preocupa a las comunas de Zapallar y Puchuncaví"
"394","Carabineros ha cursado más de seis mil detenciones sanitarias en medio de pandemia y surgen primeros indultados reincidentes"
"395","

                
                
                Autoridades con Covid-19 en Venezuela: Diosdado Cabello y el gobernador de Zulia están contagiados
"
"396","Argentina sumó 275 fallecidos y 6.614 casos de Covid-19 en las últimas 24 horas"
"397","Entrenando en los pasillos: masiva protesta por cierre de gimnasios en pleno Costanera Center"
"398","La increíble historia de una orden de Néstor Kirchner que podría acercar las vacunas de Cuba a Argentina"
"399","La historia del arquero argentino que fichó por Temuco y que está en cuarentena tras compartir avión con un contagiado de coronavirus"
"400","Casos en La Moneda y en La Araucanía: Los resguardos de las autoridades para prevenir contagios"
"401","VIDEOS. Así fue el masivo carrete en Barrio Bellavista, que muchos tildaron como la “Cepa Bellavista”"
"402","Aumenta demanda  en grandes estudios de abogados tras Covid-19"
"403","Mueren 22 pacientes de covid en India al cortarse el suministro de oxígeno"
"404","Columna de Paula Escobar: Extraño autogol"
"405","“Maskne” y los problemas en la piel que ha dejado la pandemia"
"406","Alumnos chinos retornan a clases con pulseras electrónicas para detectar el coronavirus"
"407","Médico del Stade de Reims se suicida al saber de su contagio"
"408","México reporta 596 nuevos fallecidos por Covid-19"
"409","Minsal reporta 61 decesos y 1.517 nuevos contagios: Positividad llegó al 4,2%, la más baja desde que hay registro"
"410","

                
                
                Estudio ""Vida en Pandemia"" revela el impacto económico de la crisis en las personas: 73% de encuestados dijo tener problemas para pagar créditos
"
"411","Superintendencia de Salud ordena a isapres a aprobar todas las licencias médicas por covid-19 que han sido rechazadas"
"412","Erick Pulgar supera el coronavirus y aguarda por retomar el trabajo"
"413","Gestor sanitario y test para internos y funcionarios: anuncian nuevas medidas para disminuir contagios de COVID-19 en cárcel de Puente Alto"
"414","Los futbolistas que iban camino a su mejor temporada en Europa antes de que se desatara el coronavirus"
"415","Covid-19: Chile es elegido para participar de los ensayos de la vacuna del laboratorio Johnson & Johnson"
"416","Israel pone fin a la mascarilla obligatoria en lugares públicos cerrados"
"417","Ventas del comercio electrónico casi se triplican en un año en medio de crisis por coronavirus"
"418","Minsal pone en marcha operativo en comunas con menor tasa de inoculación: 64% de las personas de 47 años han acudido a los vacunatorios"
"419","Consejo Asesor recomienda iniciar vacunación con Sinovac a niños de 3 a 12 años"
"420","Casos en la RM aumentan en un 45% en la última semana y Minsal condena fiestas clandestinas"
"421","Clase Abierta: Mindfulness y cómo practicarlo"
"422","Consejo de Estabilidad Financiera oficia al Congreso por riesgo sistémico de proyectos en discusión"
"423","Presidente del Grupo PSA reconoce que ""no podemos resistir mucho tiempo en ausencia casi total de ingresos"""
"424","Argentina registra nuevo récord diario de contagios y muertes por coronavirus: 35.543 casos y 745 decesos"
"425","Valparaíso y Frutillar: Escuelas de Rock estrena programa de radio desde las dos ciudades musicales de Chile"
"426","Bitácora de viajeros: vivir 14 días bajo sospecha"
"427","Minsal anuncia nueva restricción para el ingreso a Chile tras detectar cepa británica en el país: cuarentena de diez días será obligatoria"
"428","Comunidad médica expresa alerta por “fragilidad de la situación sanitaria” en el país y pide “privilegiar lo sanitario en el plan Paso a Paso”"
"429","Mujer murió al caer en un acantilado mientras se sacaba una foto para celebrar el fin de la cuarentena en Turquía"
"430","Minsal investiga aplicación de protocolos en Sanatorio Alemán de Concepción ante aumento de casos de covid-19 en el recinto"
"431","Alemania dice que iniciará su campaña de vacunación el 27 de diciembre"
"432","EE.UU. contabiliza más de 1.200 muertes en 24 horas por covid-19 y alcanza los 330 mil contagios en total"
"433","Fallecido por coronavirus en Concepción padecía un daño hepático crónico"
"434","Argentina: Gobernador de Buenos Aires anuncia regreso presencial a clases en el conurbano  de la ciudad"
"435","Piñera conversó con mandatario argentino tras impasse entre ambos gobiernos"
"436","El duelo en tiempos de pandemia"
"437","

                
                
                Espacio Público alerta que casos de covid-19 en la RM ""casi se han duplicado en las últimas seis semanas""
"
"438","Covid-19: Colmed admite preocupación de que funcionarios capacitados lleguen al límite"
"439","Australia registra récord de casos de covid-19 en segunda oleada de contagios"
"440","Daza y denuncia contra Paris por cumpleaños en el Minsal: ""Hemos recibido una carta sin mayores antecedentes"""
"441","Carabineros no contará con Simccar en fiscalización de cuarentena: Gobierno asegura que ""solo ralentizará"" controles"
"442","Agencia de la ONU pide que se anule deuda de las economías en desarrollo: cifra se calcula en US$ 1 billón"
"443","La economía chilena da una positiva sorpresa y logra crecer en el primer trimestre del año"
"444","

                
                
                Balance del COVID-19: hay 1.988 nuevos contagios y 62 fallecidos
"
"445","Tres de cada cuatro trabajadores de servicios transitorios no tenían empleo anterior o trabajaban informalmente"
"446","Casos diarios de Covid-19 en Chile vuelven a superar los dos mil y casos activos otra vez superan los 13 mil"
"447","La Casa Blanca confirma casos de Covid-19 entre sus  funcionarios ya vacunados"
"448","Expertos anticipan ""fuertes perturbaciones"" en la economía de China, la gran infectada por la epidemia del coronavirus"
"449","El enigma de Magallanes: ¿una peligrosa mutación, culpa de Argentina o desobediencia civil?"
"450","Imacec de -3,5% en marzo: Briones asegura que ""está en línea con lo que esperábamos"" y adelanta que ""abril debería ser peor"""
"451","El mundo refuerza medidas por temor a rebrotes del coronavirus"
"452","Matías Godoy, el pepero chileno que gambetea al coronavirus en Taiwán"
"453","Cuarentena en comunas de La Araucanía será desde mañana e intendente dice que ""era necesario tomar medidas más estrictas"""
"454","Corte de Santiago declara inadmisible recurso de protección interpuesto contra convenio del Sename y la ANI"
"455","Asociaciones de colegios particulares se suman al debate: ""Hay que hacer el esfuerzo de retornar lo antes posible"""
"456","El 64,7% de los detenidos en la RM por delitos contra la salud pública fue arrestado esta última semana"
"457","Ventiladores desocupados en el país llegan al nivel más bajo"
"458","Daza defiende vacuna de refuerzo tras solicitud que hizo la OMS para que países suspendan tercera dosis"
"459","McDonald’s se acoge a Ley de Protección de Empleos y retoma poco a poco sus operaciones"
"460","Confirman séptima víctima fatal por coronavirus en Italia"
"461","Casi 30.000 personas de las 16 regiones recibieron las primeras dosis: El avance de la vacunación contra el covid-19 en Chile"
"462","Gobierno anuncia desconfinamiento para once comunas del país y decreta cuarentena para otras ocho"
"463","

                
                
                Fundación Iguales pide al Gobierno implementar políticas de Estado antidiscriminatorias ante el avance del coronavirus
"
"464","Casos de coronavirus obligan a suspender La U-Iquique y La Calera-O’Higgins"
"465","Presidente de la Fórmula E y efectos del coronavirus: ""Algunos campeonatos no van a sobrevivir por sí mismos"""
"466","Nueva fiesta clandestina en Cachagua termina con 20 detenidos"
"467","

                
                
                Epidemióloga Sandra Cortés: ""Las personas adhieren mejor a las recomendaciones cuando tienen voceros confiables que entregan mensajes claros""
"
"468","Mañalich anuncia que contagiados con coronavirus se duplicaron en el país: Cifra llega a 155 pacientes y dos se encuentran en estado grave"
"469","Las cifras que preocupan en España: Presenta una expansión del Covid-19 más rápida y amplia que Italia y China"
"470","Hasta 100 mil por persona: bono IFE Covid también se pagará en marzo y abril ¿Cómo postular?"
"471","Aumentan en 310 los contagios por Covid-19: casos totales alcanzan los 2.449"
"472","Monckeberg dice que gobierno evalúa una nueva entrega de cajas de alimentos y asegura que polémica por instructivos le da “un poco de pudor”"
"473","Gremio de aerolíneas pide reabrir fronteras para chilenos y extranjeros a partir del 25 de julio: ""Existen las condiciones"""
"474","Desbordes: “Se está incubando un malestar de clase media (...) y eso nos puede salir mucho más caro que soltar un poco de plata”"
"475","Impronta diplomática y transformación social"
"476","Minsal reporta 34 decesos y 1.489 nuevos contagios: Hay récord de test y la positividad fue de 3,48%, la más baja desde que se informa"
"477","Jardines infantiles alertan que postergación de pagos los tiene al borde de la quiebra"
"478","Colmed sostiene que permiso de vacaciones fue ""un error que estamos pagando"" y pide ""aprender"" del 2020"
"479","La cuarentena tiene efectos dañinos sobre la población LGTBI en Chile"
"480","Minsal reporta 4.361 nuevos casos, cifra más alta desde el 27 de junio: Hubo 63 decesos y récord de PCR por segundo día consecutivo"
"481","Comunidad Médica advierte “frágil situación sanitaria” del país y presenta propuestas para enfrentar crítico escenario"
"482","Estados Unidos supera a Italia como el país con más muertos por coronavirus"
"483","Argentina ordena el cierre total de sus fronteras durante 15 días por coronavirus: restricción de ingreso incluye a Chile"
"484","Más de dos mil personas en Chile: Universidad Oxford y AstraZeneca terminan reclutamiento de voluntarios para vacunas"
"485","Ingreso Familiar de Emergencia: Región Metropolitana, Valparaíso, Biobío y Maule concentran 61% de hogares beneficiados"
"486","EE.UU. sobrepasa los 360.000 muertos y 21,2 millones de casos por covid-19"
"487","

                
                
                Negativo récord: pacientes de más de 60 años ingresados en UCI alcanzan su mayor número desde el inicio de la pandemia
"
"488","FDA fija para mediados de diciembre reunión para evaluar la vacuna de Moderna y dar visto bueno a su comercialización"
"489","Expresidente de Perú Alejandro Toledo es liberado de prisión ante temor de contraer coronavirus"
"490","Mes crítico: proyección de la U. de Chile estima un peak de 7 mil casos diarios de Covid-19 para la primera semana de junio"
"491","¿Brazo izquierdo o derecho?: Expertos aclaran dudas sobre el lugar del cuerpo donde se puede inyectar la vacuna"
"492","

                
                
                Minsal reporta 6574 casos nuevos y 109 fallecidos por covid-19 en las últimas 24 horas
"
"493","Se suspende toda actividad en el país, por petición mundial de la FIBA"
"494","Alza de temperaturas en el hemisferio sur: Los efectos que podría tener la temporada estival sobre la dinámica de contagios"
"495","Suprema acoge recurso de protección y permite asistencia a cultos religiosos en cuarentena"
"496","Subsecretaria Daza ""aclara"" resolución sobre migrantes: Los que hicieron autodenuncia ""tienen derecho a su vacuna"""
"497","“Al gobierno le faltó escuchar”: Multigremial de Emprendedores dice que cerca del 80% de las mipymes quedarían por fuera de los créditos de Fogape y Corfo"
"498","Italia registra casi mil muertos por Covid-19 el último día, la peor cifra de fallecidos desde el inicio de la crisis"
"499","Seremi de Los Ríos investiga diferencia en cifras de fallecidos: Informes regionales reportan 37 y en el Minsal 44"
"500","Países de la región apuestan a nuevos cierres de fronteras ante alza de casos de Covid"
